prim_key,hand_assign_final,hand_assign_AWCS,certainty_mj,certainty_dz,mismatched,certainty_mismatch,hand_assign_mj,hand_assign_dz,
10017494:1,23101100,23101100,3,3,0,NA,23101100,23101100,TRUE
10018010:1,43403102,43403102,2,2,1,1,43906100,43403102,TRUE
10027497:1,29107100,29107100,3,3,0,NA,29107100,29107100,TRUE
10027508:1,25309900,25309900,3,3,0,NA,25203100,25202200,TRUE
10027509:1,43403102,43403102,2,3,1,3,43906100,43403102,TRUE
10027514:1,41902200,41902200,3,3,1,2,41902200,41902100,TRUE
10027517:1,11102100,11102100,3,2,0,NA,11102100,11102100,TRUE
10027518:1,25904100,25904100,3,3,1,2,25904100,25205200,TRUE
10027520:1,29202100,29202100,3,3,0,NA,29202100,29202100,TRUE
10027524:1,27101400,27101400,2,3,0,NA,27101400,27101400,TRUE
10027525:1,13119900,15115100,2,2,0,NA,15115100,15115100,FALSE
10047535:1,51601100,51601100,3,3,0,NA,51601100,51601100,TRUE
10047541:1,43406100,43414100,1,1,1,1,43414100,43906100,FALSE
10047545:1,29105100,29105100,3,3,0,NA,29105100,29105100,TRUE
10047549:1,43506100,43506100,1,2,1,1,43506100,43305100,TRUE
10047551:1,51606100,51606100,2,1,1,1,51602100,51919900,TRUE
11027560:1,39902100,39902100,3,3,1,3,39902100,31101100,TRUE
11044006:1,29202100,29202100,3,3,0,NA,29202100,29202100,TRUE
11044010:1,11903300,11903300,3,2,0,NA,11903300,11903300,TRUE
11044028:1,11902100,11902100,1,1,1,1,11919900,15119909,TRUE
11044034:1,27402100,27402100,3,3,0,NA,27402100,27402100,TRUE
11044037:1,13104104,13103102,3,2,0,NA,13103102,13103102,FALSE
11044054:1,25205400,25203100,3,3,0,NA,25203100,25203100,FALSE
11044068:1,43505100,43505100,3,2,0,NA,43505100,43505100,TRUE
11044072:1,23201100,43601200,3,2,0,NA,43601200,43601200,FALSE
11044076:1,25202200,25202200,2,2,1,2,25203100,25202200,TRUE
11044093:1,25202200,25202200,2,3,1,2,25203100,25202200,TRUE
11044103:1,13209904,13209904,3,3,1,3,13201101,13209904,TRUE
11044118:1,29106200,29106200,2,3,0,NA,29106200,29106200,TRUE
11044147:1,11101100,11101100,1,1,1,1,11101100,11102100,TRUE
11044150:1,43303100,43303100,3,3,0,NA,43303100,43303100,TRUE
11044152:1,21109400,21109400,3,2,1,3,25904100,21109400,TRUE
11044154:1,39701100,35301100,3,3,0,NA,35301100,35301100,FALSE
11044157:1,47206100,47206100,3,2,0,NA,47206100,47206100,TRUE
11044163:1,11311100,11311100,2,3,1,3,13114100,11311100,TRUE
11044174:1,41201100,41201100,3,3,0,NA,41201100,41201100,TRUE
11044183:1,25202100,51101100,2,2,0,NA,51101100,51101100,FALSE
11044184:1,43502100,43502100,3,3,0,NA,43502100,43502100,TRUE
11044187:1,29205300,29205300,2,3,0,NA,29205300,29205300,TRUE
11044199:1,41401200,41401200,1,2,0,NA,41401200,41401200,TRUE
11044201:1,55201300,43601300,2,2,0,NA,43601300,43601300,FALSE
11044204:1,35201100,35201100,2,2,0,NA,35201100,35201100,TRUE
11044224:1,21109400,39902100,3,2,1,2,39902100,29103100,FALSE
11044226:1,43601300,43601300,3,3,1,2,43601400,43601300,TRUE
11044228:1,33302105,33302105,2,3,0,NA,33302105,33302105,TRUE
11044230:1,21101400,21101400,1,1,1,1,43906100,29207100,TRUE
11044238:1,11911100,21109400,1,1,1,1,21102200,21109400,FALSE
11044240:1,11301100,11301100,1,2,0,NA,11301100,11301100,TRUE
11044243:1,51202200,51202200,2,2,0,NA,51202200,51202200,TRUE
11044247:1,47101100,47101100,1,3,1,3,11305100,47101100,TRUE
